folder,manmask,reject_reason,note
009_NGC_3516_COMBINED,3,,"blueshift identical across all mask sets; anchors aligned; trial-z test shows the anchor offsets are model shape, not redshift"
003_NGC4151_COMBINED,3,,one quantum between mask sets; C III] is 3 sigma high in the adopted fit but the component set that fixes it breaks Si IV and Mg II at 12 sigma
001_NGC4395_COMBINED,3,,every variant passing the C IV veto gives -78.8 km/s; the variants that improve Si IV all fail the veto; 2300-2500 A non-AGN emission masked; user confirmed after trying the GUI
002_NGC-4051_COMBINED,0,insufficient_coverage;civ_unphysical;fit_unstable,"1545 usable px all below 1800 A, no anchor coverage; all four variants fail the sub-continuum veto (77-123 px); blueshift swings 14 quanta"
006_NGC1566-NUC_FOS,0,low_snr;civ_unphysical,"FOS, S/N ~1-2 per pixel in the C IV wings; every variant fails the sub-continuum veto by 166-171 px with the model dipping to zero; prior manmask was already 0"
005_NGC_3227_COMBINED,3,,"single-peaked line, massive absorption trough at ~0 km/s plus absorbers in both wings. Trough masked 1545.1-1552.0 at its true edges -- an earlier 1543.5-1555.5 threw away the red shoulder (flux 18-20) and left the model too low and too narrow. Blue-wing absorbers found by iterating the proposal three rounds (8 ranges a single pass missed). Model peak now 19.8 against data shoulders 18.5 and 20.5; 473.5 / 142.8, up from 128.1 EW. GTR's curated STIS fit gave 335.5 / 136 with a narrower trough"
007_NGC_6814_STIS,3,,"GTR's curated masks (11 ranges, 32 px); Claude's own pass proposed no masks at all here. 335.5 / 521.3, the highest EW and best C IV residual (0.76 sigma rms) of any variant -- comps low fails the veto, comps high gives 466. Model peaks at 51 against data at 69: the basis cannot make a core this sharp, and the broad red wing at 1555-1578 is the line exceeding the basis, not absorption. Iterating the absorption search finds nothing at 2 sigma. CONFIRMED by GTR: an EW this large already places it at an extremum of C IV distance, so a better fit would not move it materially"
010_NGC_4593_STIS,3,,"CONFIRMED by GTR. Claude's masks kept over GTR's curated fit: the 1533-1550 A absorption complex is masked more fully, giving lower residuals in both usable windows (Si IV rms 1.39 vs 1.72, C IV 1.91 vs 2.52); 749.2 / 182.4 against GTR's 611.4, two quanta. No C III] or Mg II coverage, so Si IV is the only anchor and the redshift cannot be checked from the UV; NED is 204 km/s below the catalogue value"
012_NGC_4253_STIS,3,,"CONFIRMED by GTR as better than the prior curated fit. GTR's curated pixel masks plus the associated absorber at 1549.0-1550.1 A, identified by GTR as sitting at the peak of C IV emission (C IV rest is 1549.48, so it is at systemic). Masking it is correct but changes nothing measurable: -78.8 / 116.9 against 117.0 without it, because it spans ~1 A, 3-6 px of 280. The model peaks at 19.9 against apparent data peaks of 31, but those pixels carry errors of 9 (S/N ~3), so the sharp core is not significant and the C IV residual is 0.37 sigma rms overall -- the fit is statistically sound and the basis limit is not costing a real measurement. comps mod is auto and best; high gives EW 92, low fails the veto"
017_Mrk_1044_COMBINED,3,,"weak absorption identified by GTR, in two places. At the C IV peak: a 0.9 A dip at 1548.4-1549.3 between shoulders of 16.31 and 16.62, now masked and marked on the figure -- it changes nothing measurable (EW 79.25 -> 79.23 alone) because it is 3 px of 280, but it was in the data unmarked. On the red side, 1551.5-1556.0: no single pixel reaches -1 sigma but 13 consecutive pixels run -0.5 to -0.9, combining to ~-2.3 sigma; masking it gives EW 80.10. Blueshift is 197.5 under every variant, same as GTR's curated STIS fit. The model still peaks 1.4 units (8%) below the data core and no masking closes that -- it is the basis limit, not absorption. The straight line across 1770-4870 A in earlier figures was matplotlib joining the two sides of a 3103 A gap in the combined spectrum, not data; plotted lines now break across gaps. Trimming the 241 optical pixels instead would have left blueshift and EW identical but moved f2500 by 3%, since they anchor the continuum fit behind the morphing, so the data is left intact"
018_NGC-7469_STIS,3,,"CONFIRMED by GTR against AP's prior STIS-only fit, which GTR identifies as the best previous work on this object; AP's figure is copied into the folder as prior_ap. STIS alone adopted, the three-spectrum combination abandoned. COS contributes no C IV at all -- every pixel from 1540 to 1562 A is flagged bad -- so the merge is FOS+STIS in the line, and those two epochs disagree about the line itself: normalised to each spectrum's own 1690-1720 A continuum, STIS peaks at 7.96 times continuum at 1549 A and FOS at 4.82 at 1552 A, a factor 1.65 in strength and 560 km/s in position. The continua agree to a few percent in every window, so this is the broad line varying between epochs, not a calibration mismatch. Co-adding them gives a flat-topped profile neither epoch has: the combination scores rms 3.22 / 4.79 / 2.43 / 6.17 sigma in Si IV / C IV / C III] / Mg II against STIS alone at 1.29 / 1.11 / 1.03 / 1.73, and puts the C III] peak 378 km/s off systemic against 171. FOS and COS alone both fail the sub-continuum veto (25 and 127 px), so STIS is the only usable single spectrum; it is the longest too, 1120-10060 A with all four anchor windows. Two further masks added at GTR's prompting, both blueward of the peak and both immaterial as GTR predicted: an isolated pixel at 1547.36 sitting -2.2 sigma between neighbours at +1.2 and +0.3, and the red edge of the deep 1537-1542 trough extended from 1542.0 to 1545.7, where ten consecutive pixels run about -0.9 sigma. Blueshift is 266.5 with either, both or neither; EW moves 174.89 -> 176.04, 0.7 per cent. The model still peaks 9 per cent below the data core (20.8 vs 22.9) and four rounds of the absorption search close none of it, so that is the basis limit, not missing masks. comps auto is best; high spoils Si IV (med +1.74), low spoils C IV (rms 2.56). Third object where merging was worse, after NGC 3783 and NGC 5548"
019_NGC_5548_FOS,3,,"CONFIRMED by GTR, who adopted iter03_fullabs and agreed FOS alone is right, matching the best previous fit. Masks are GTR's curated set with two C IV ranges grown to cover the full absorption features, at GTR's prompting -- they identified a habit of masking only part of a feature. Two absorbers sit near the peak: a broad one running 1544.06-1547.98 A to -6.0 sigma, and a narrower one at the emission peak running 1549.05-1550.12 A to -3.3 sigma. The stored masks were 1544.1-1547.9 and 1549.1-1550.3; the second began 0.05 A redward of where the absorption begins, so it covered the recovery and excluded 1549.05, the deepest pixel of that feature -- masking the red side of the line and leaving its core in the fit. Grown to 1543.9-1548.2 and 1548.85-1550.45 the fit improves in every window (C IV rms 0.89 -> 0.86, C III] 0.95 -> 0.91 with its median residual -0.25 -> -0.07, Si IV and Mg II unchanged at 0.87 and 0.89) and the Mg II anchor moves from -490 to -450 km/s. Sub-1 sigma rms in all four windows at once, the best-fitting object in the batch. Blueshift is -9.7 either way; EW 239.02 -> 244.96. The two absorbers are NOT merged into one span: the pixels at 1548.33 and 1548.69 sit at +0.72 and +0.09 sigma, real unabsorbed flux between them, and merging gains 0.2 EW while discarding it. The three-spectrum combination is worse on every count -- its baseline and GTR-mask variants fail the sub-continuum veto (24-25 px, C IV residual -8 to -9 sigma median) and the variants that pass reach only rms 1.96-2.06 in C IV on 108-158 px with Si IV surviving on 30. Second object where merging was worse"
